timestamp_unix,product_string,usage_page,usage,interface_number,serial_number,report_length,report_hex
1788334810.227523565,EEG Signals,65535,2,1,UD2022081200650D,32,54d131e876a9df728484459d397f57e864d3183e7308b6ce25683f0b4bf878a2
1788334810.231513023,EEG Signals,65535,2,1,UD2022081200650D,32,31c47103aabfda9d06be2721f7fd1b4f5280415b2abfeb84754e869a9dc3c4e8
1788334810.235597849,EEG Signals,65535,2,1,UD2022081200650D,32,fde38b567e5770c72433720e2ff871916599185182653a888569a25b0c91fc76
1788334810.239532948,EEG Signals,65535,2,1,UD2022081200650D,32,23b86a869068c722676d69b4a1e00112c43bffaf12379f51cadd1c118cabe7b4
1788334810.243532181,EEG Signals,65535,2,1,UD2022081200650D,32,59ff25b96cad4ffb293ee97b1549cba9a14e7780840aa91b27ab0b4e81c1b3c3
1788334810.246524096,EEG Signals,65535,2,1,UD2022081200650D,32,39ba6f0c0fec7d1a7995081dbc5b671ff174c19228f1b8d13dfef6e742191fdd
1788334810.250520468,EEG Signals,65535,2,1,UD2022081200650D,32,9d2ea910b6ec1468b84d68f8b23247ac5b80fc333229fa7481b504b92ca7274b
1788334810.254559755,EEG Signals,65535,2,1,UD2022081200650D,32,ff1df3fb9e5626cdd3b8c5763b2260d1603ae53f64a4425b3414ba0ee65c58b1
1788334810.258538008,EEG Signals,65535,2,1,UD2022081200650D,32,204eea76e1e97e69aa257eb6c9fab7f523ece2fb26c418cdf123cd03fed17d2e
1788334810.262533188,EEG Signals,65535,2,1,UD2022081200650D,32,9c2c04452e96ade3f59faf9d01b6c02ba40b718f4a74334d7c80290b6fca7234
1788334810.266513824,EEG Signals,65535,2,1,UD2022081200650D,32,1efca129e7dac89851e10b45cdb2877b50b94b5e513d49616a91f648e69f3dae
1788334810.270543814,EEG Signals,65535,2,1,UD2022081200650D,32,132028f796709732029661b32596cec76921329557e7c99f07ec15f92e01d9ac
1788334810.274524689,EEG Signals,65535,2,1,UD2022081200650D,32,285dbbded04e0871d62e3f28846df58913e608a10c4e59acdbd04477f3baff69
1788334810.278519154,EEG Signals,65535,2,1,UD2022081200650D,32,7659b546006e8025f8c010ca3e1b3ad17c34cfe147aee0cd9f8d562b8f1b97eb
1788334810.282510996,EEG Signals,65535,2,1,UD2022081200650D,32,6cdfe581a04328070183cc4c4b7362b46c61a20aecc7fe9885b9194d961f84eb
1788334810.286545515,EEG Signals,65535,2,1,UD2022081200650D,32,b55e1ab6b9cdace0966028abb9d0e18efed6dea33c42abd3b68727af7be0d715
1788334810.289522409,EEG Signals,65535,2,1,UD2022081200650D,32,2dc184b0568eeea5c73152ef600cd6bfd0e47d3e976ec4f7e6833a45867a4ba0
1788334810.293531179,EEG Signals,65535,2,1,UD2022081200650D,32,a80f1bb239127f3a7fa8f71d445ce6e2c9f37849630a57a918a2a1c83325249e
1788334810.297524929,EEG Signals,65535,2,1,UD2022081200650D,32,19192718f6428a70c36bc1039b9ae2c8aa3b4497538bb815ddb253b737bea07c
1788334810.301509619,EEG Signals,65535,2,1,UD2022081200650D,32,00bda537bd87655033a68960d6bf157800f6dada18bb42000ec873f48f5c8958
1788334810.305529594,EEG Signals,65535,2,1,UD2022081200650D,32,a0c5f90e13ba637874d498abd1b0d911882cbce384c2bf8b08da552ae99db594
1788334810.309552431,EEG Signals,65535,2,1,UD2022081200650D,32,a3417850a2e1f1018c9406b407bd742f77036516faa9267138f939232983831f
1788334810.313511848,EEG Signals,65535,2,1,UD2022081200650D,32,c68d745a2dd8553aad362bf254290ce46def57b30fd9bc3a9440670672e02225
1788334810.317507505,EEG Signals,65535,2,1,UD2022081200650D,32,7f8b1c8c184f8dbc84b72037f210724fdf99ac6cd01de571fae515c07b494c7f
1788334810.321549892,EEG Signals,65535,2,1,UD2022081200650D,32,9cfa6826fea75a0e4837523132f62df653bc66b86c54750198753356da8e5c58
1788334810.325539112,EEG Signals,65535,2,1,UD2022081200650D,32,59d5d3bd95c40841b0a983b82445e7640353393b5e93d87707a7119b1629eed9
1788334810.329533577,EEG Signals,65535,2,1,UD2022081200650D,32,bdebd1530e50519e7b00c1060868b7f6a26556362d1835c62195429f50867e08
1788334810.332525253,EEG Signals,65535,2,1,UD2022081200650D,32,81d1ea8dd0c65554f454d5b5aa6125019d4a8ceca670033683193cac59674928
1788334810.336543798,EEG Signals,65535,2,1,UD2022081200650D,32,88afe8c8b9abeab7feb9175566a49327fe6417ee3af8cdcd969fc8d3ef260276
1788334810.340541124,EEG Signals,65535,2,1,UD2022081200650D,32,f9ba4ee9c2e748092f31b523e6db76ce3d82c5c422cde75a9a8cd7fe4051eec4
1788334810.344543219,EEG Signals,65535,2,1,UD2022081200650D,32,12ffba79fe8a699b8e83ba5613ee4320c32844264671d82c19a3d74f5d47f1a7
1788334810.349531651,EEG Signals,65535,2,1,UD2022081200650D,32,58d8621e4a8434cfdb1e34242ff579d856cd7fcdebbd0a1799d72054a72a71dd
1788334810.352550745,EEG Signals,65535,2,1,UD2022081200650D,32,5b18df92718c381a49cc0001c20186fff6eda52fe914b9dbd73117c6d1a387a1
