session,chunk,elapsed_min,channel,in_core,psd_seconds,total_uv2,delta_uv2,delta_db,delta_rel_pct,delta_cv,theta_uv2,theta_db,theta_rel_pct,theta_cv,alpha_uv2,alpha_db,alpha_rel_pct,alpha_cv,beta_uv2,beta_db,beta_rel_pct,beta_cv
gng_flex,1,4.471325728258914,C3,True,60.5,90.47468422550524,85.5133409319229,19.32033874273688,94.51631875142404,0.48639693565051884,1.9518479459791442,2.9044598198111427,2.157341539998334,0.42736435102159276,0.8271561032425703,-0.8241252142781385,0.9142403870467348,0.5657434716326384,1.7922588345627843,2.5340072982661095,1.9809506381869617,0.22466621071269563
gng_flex,1,4.471325728258914,T7,False,60.5,14.536306649680997,7.088282089637221,8.50540992673446,48.76260703947639,0.8230756386368097,2.3134465994513262,3.6425947927085027,15.914954569991103,0.4817846506995254,1.54745331831474,1.8961755662326651,10.645436668389898,0.6656468970815522,3.0536769057293176,4.848230846255085,21.00724055512637,0.2567717037422344
gng_flex,1,4.471325728258914,FC1,False,60.5,11.006020188702184,4.225515563316266,6.2587970562728525,38.39276587602311,0.7229529208420069,2.0009836927813565,3.012435493239024,18.180810669740467,0.845840510141784,1.0382077280020403,0.16284257268847602,9.433089438340058,0.3144150579088021,3.426998198611289,5.349138761446662,31.13748784623478,0.20598882017732031
gng_flex,1,4.471325728258914,FC5,False,60.5,27.19027288198974,19.605303743185566,12.923735751732078,72.10410806936662,1.2464693691943338,2.6550995875550054,4.240808152534493,9.764887609177645,1.3064700192575582,1.8093641546065786,2.575259822386829,6.654453827879982,0.4826879312961668,2.6716315365449894,4.2677656133358255,9.825688576721205,0.3870221993922875
gng_flex,1,4.471325728258914,FT9,False,60.5,69.87786131455205,54.000232621803434,17.323956306775614,77.27802712610767,0.8951053371711103,4.908037913445082,6.909079088912323,7.023738021047567,0.654071147353039,3.8454124852229183,5.849429320302829,5.503048337316689,0.7800029339699048,5.945535319703345,7.741909633999054,8.50846778629899,0.27037223070291644
gng_flex,1,4.471325728258914,F3,True,60.5,27.493414569041814,16.21510768130224,12.099198370817689,58.97815144271241,1.4551050567988248,4.594216965134059,6.622115012063059,16.710245115596692,0.3969241167615052,1.7850571794788725,2.516521321201579,6.492671817813732,0.5591900203044479,4.304503160264365,6.3392303100272605,15.656488027177714,0.47616545037931524
gng_flex,1,4.471325728258914,F7,False,60.5,27.124516407539243,16.544371876790102,12.186502833953988,60.99416346531289,1.6573347904011289,4.482116581168947,6.514831484730058,16.524226695238504,1.2595935089425898,1.9499923038093891,2.9003289730112836,7.189039887425938,0.7266785349276337,3.431858792826412,5.355294100747081,12.652239550610123,0.49710319217210425
gng_flex,1,4.471325728258914,Fp1,False,60.5,31.5374509044626,20.824018195388298,13.18564534574541,66.02949064739302,4.601867190614208,2.6657982485409066,4.258272782883043,8.452801897707248,0.8196496717920116,1.7252385924915312,2.368491644742923,5.470444005502699,0.7726809962063298,5.8166771731736,7.646749610306419,18.443713763659105,0.4928660929356405
gng_flex,1,4.471325728258914,Pz,True,60.5,9.434922032448588,3.056500534384236,4.852244760558186,32.39560988286197,0.9515372674862329,1.6026207209415921,2.0483075361306415,16.986051558559343,0.6976406402190977,1.203602798422934,0.8048318882063967,12.756891835284941,0.30154945302424874,3.302021033210729,5.187798353042017,34.99786242911618,0.21823771329305972
gng_flex,1,4.471325728258914,Cz,True,60.5,12.47103120885111,6.081696817250581,7.840247660420782,48.766591273817006,0.7098841231825455,2.423098826776128,3.8437112732292684,19.42981928436177,0.7285179116941601,0.892230313482649,-0.4952302570928732,7.154422906498728,0.40793079652055736,2.567808993179116,4.095627155442136,20.590189778024577,0.3120907548174992
