session,device,roi,channels,n_go,n_nogo,difference_uv,ci_lo,ci_hi,peak_uv,peak_ms,fwhm_ms,baseline_rms_uv,pm_noise_uv,snr,bad_channels
gng_epocx,epocx,shared frontal,F3 FC5 FC6,71,310,2.4892588446815975,0.0003598379208413942,5.008993168380503,5.848777269191857,289.0625,109.375,0.7400095684649146,0.642717595161918,3.8730211580009506,F4
gng_epocx,epocx,own primary (frontal),F3 FC5 FC6,71,310,2.4892588446815975,-0.018740814309541196,5.004236675380175,5.848777269191857,289.0625,109.375,0.7400095684649146,0.6415478457331588,3.8800829294920014,F4
gng_epocx_2,epocx,shared frontal,F3 F4 FC5 FC6,33,142,3.391671984935897,-0.39889054675532615,7.214089358832709,4.707821742517349,343.75,164.0625,0.8243274044899142,1.0726670994291378,3.161905484694095,-
gng_epocx_2,epocx,own primary (frontal),F3 F4 FC5 FC6,33,142,3.391671984935897,-0.44074745232548007,7.196736148196034,4.707821742517349,343.75,164.0625,0.8243274044899142,1.0355470727029334,3.275246557438595,-
gng_flex,flex,shared frontal,F3 F4 FC5 FC6,76,313,1.586968183940983,-1.315561104503087,4.397318833791189,4.239607501383241,257.8125,85.9375,0.9220549175258851,0.7776606848412936,2.040694887725814,O1 PO9 PO10
gng_flex,flex,own primary (central),Cz CP1 CP2 Pz,76,313,2.016450761261542,-0.7044268585544512,4.728781956538295,4.450432716939737,335.9375,117.1875,0.8544217101406982,0.7321620362906262,2.7541045032566087,O1 PO9 PO10
