half,first_min,last_min,channel_windows,channel_minutes,over_threshold,pct_windows_over_common,pct_upper_95,pops,pops_per_min,pops_upper_95,channels_affected
early (Go/NoGo),4.471325728258914,50.14344879378623,13095,108.234375,16,0.12218403970981291,0.18557604951238704,17,0.15706655117655552,0.2355927133395035,5
late (oddball),51.143556367942075,64.11166971949109,11988,98.832421875,24,0.2002002002002002,0.28155157886862364,9,0.09106323440482825,0.15890753382507314,8
all,4.471325728258914,64.11166971949109,25083,207.06679687499997,40,0.15947055774827573,0.20758828335979324,26,0.125563346670666,0.17422690951891198,9
