metric,label,scope,ratio_scale,gng_flex_n,gng_flex_median,gng_flex_first,gng_flex_last,gng_flex_slope_per_h,gng_flex_lo,gng_flex_hi,gng_flex_rho,gng_flex_p,gng_flex_constant,gng_flex_settled_slope_per_h,gng_flex_settled_lo,gng_flex_settled_hi,gng_flex_largest_step_share,oddball_flex_n,oddball_flex_median,oddball_flex_first,oddball_flex_last,oddball_flex_slope_per_h,oddball_flex_lo,oddball_flex_hi,oddball_flex_rho,oddball_flex_p,oddball_flex_constant,oddball_flex_settled_slope_per_h,oddball_flex_settled_lo,oddball_flex_settled_hi,oddball_flex_largest_step_share,step,step_pct,pooled_slope_per_h,pooled_lo,pooled_hi,pooled_rho,pooled_p,both_ci_exclude_zero
hf_20_45_uv_rms,20-45 Hz noise (uV rms),core,True,11,2.2513809405135543,2.00534142953404,2.5645894472418758,2.7403293817080274,1.6819287500032378,4.544103071285935,0.8363636363636365,0.0013331850799508565,False,2.7403293817080274,1.3281517132544138,4.65051644372324,0.5762030111872557,12,2.461817451165347,2.450630201155505,2.694977306181602,0.4596464246715895,-1.261583561233315,2.7632112425229858,0.17482517482517487,0.5868236643627043,False,0.5054975284743943,-2.2191733470069193,3.320245054987496,0.7503736081615977,0.21043651065179247,9.34699707477272,0.42063658906250817,0.20158337727597944,0.6964713946147678,0.7223320158102766,9.936054710744465e-05,False
hf_20_45_uv_rms,20-45 Hz noise (uV rms),inner,True,11,2.2513809405135543,1.9601136550844682,2.5645894472418758,3.1160541932173644,1.6645257934009992,4.973869767324633,0.8090909090909091,0.002558580199713917,False,3.026634311246634,1.0158882371266882,4.973869767324633,0.7369684894051227,12,2.487965143769461,2.450630201155505,2.694977306181602,0.28609396890650884,-1.674225554358461,2.7632112425229858,-0.006993006993006993,0.9827917689028476,False,0.33023104739950343,-2.358101484509553,2.9224525016735967,0.7186196565394993,0.2365842032559069,10.508403931053113,0.4150106992228332,0.15896376846949606,0.7040952916292501,0.6146245059288538,0.0018048352216738408,False
hf_20_45_uv_rms,20-45 Hz noise (uV rms),rim,True,11,3.03242684147435,3.03242684147435,3.0455432016634685,1.471263229729264,-1.5702143041455616,3.9224341062435713,0.5727272727272729,0.06554305260101852,False,1.8231780925071581,-1.6436877389869053,5.30396799472518,0.798696429348682,12,3.569986863664452,2.9929405126560384,3.8857151823735494,2.1407026487253127,-0.7091712278401044,3.5231315936099334,0.2867132867132868,0.36625146058358227,False,1.3790829432215617,-1.2628084152566035,2.916544407527123,0.7627334602199177,0.5375600221901022,17.727056588403745,0.7342223157869155,0.4585246493320554,1.0243047573769417,0.7974308300395258,5.206894722871645e-06,False
rms_1_20_uv,1-20 Hz rms (uV),core,True,11,4.979512663692432,4.979512663692432,6.510711883784526,18.694122263398718,-1.954639719831577,32.77328193623316,0.6636363636363638,0.0259841339187655,False,21.87485460287867,3.4674012447435514,36.04462345754439,0.7942963714154802,12,4.933379764161385,5.786269457643734,4.452389054994048,1.3065508336780778,-3.9838876246920627,7.1361046815077795,0.07692307692307693,0.8121826980280591,False,3.6510622400581374,-1.6414641436908166,10.00511393133293,0.5092420577833359,-0.046132899531047045,-0.9264541059895278,0.5551805809677948,-1.4906168858024502,1.9777083006415404,0.12351778656126483,0.5744611041376416,False
rms_1_20_uv,1-20 Hz rms (uV),inner,True,11,4.5464656706806625,4.058363147130036,6.438218648050326,21.02506331554998,1.4511773020210526,35.458267943508176,0.7454545454545456,0.008454728885061567,False,22.96348380638847,2.853464256746728,37.000956630973945,0.8295239010617356,12,4.6630514278922846,5.786269457643734,3.967625865166765,-0.6335148942595528,-7.304673387101248,5.772510726218469,-0.11188811188811189,0.729194990751066,False,1.3434416009488168,-6.0387897386115,8.357186828051896,0.7381856023264047,0.11658575721162201,2.564316232792926,0.4275431360150418,-1.7764133773761916,1.7072310327673084,0.17786561264822134,0.41682106458459306,False
rms_1_20_uv,1-20 Hz rms (uV),rim,True,11,6.181975688932601,6.181975688932601,7.431209472432593,11.112879974487736,-3.8565930212366375,24.096720719428703,0.5909090909090909,0.055575604288774685,False,13.113998987997366,-1.6061711017276938,28.874536441198252,1.0,12,7.626347990853556,7.315363614249128,7.218292447046187,0.2525793485653107,-3.7200197704196554,4.2634659183746795,0.055944055944055944,0.8628980736949713,False,-0.1161780755583694,-5.043897972521699,4.2634659183746795,0.7273855730811766,1.4443723019209544,23.36425076059049,1.619810402341908,0.33711472468952003,2.922443143503496,0.641304347826087,0.0009744185569798833,False
hf_over_lf,20-45 Hz / 1-20 Hz,core,True,11,0.4565285145549118,0.4565285145549118,0.3594752071993966,-1.4233211788217672,-2.8290911779166086,-0.052111868275128176,-0.7363636363636363,0.009759535959916904,False,-2.066958013766546,-3.2528204518118375,-0.23997218648157484,0.8371277219897832,12,0.5300912263618677,0.423525074159516,0.6172702239664358,0.281600293178392,-0.5058722694945686,0.7809270734237138,0.14685314685314685,0.6487957097846665,False,-0.2069999076980181,-0.7591075699212507,0.7809270734237138,0.8525653919540892,0.0735627118069559,16.11349772503809,0.043757974205670395,-0.1222093209042381,0.18073095481987614,0.06719367588932806,0.7606531611384718,False
hf_over_lf,20-45 Hz / 1-20 Hz,inner,True,11,0.5040562763783382,0.5452598242440589,0.4084814054853593,-1.5775311421451788,-3.1054850852246236,0.47459817723786757,-0.6727272727272727,0.023313039833185983,False,-2.120454010897131,-3.7537906581217255,0.3562067467434052,0.9341329580616401,12,0.5536641587010728,0.423525074159516,0.6464399571357287,0.08566529395731809,-0.6669585397021767,0.8308164028895989,0.0979020979020979,0.7621216559962992,False,-0.27148720440954116,-0.8103102540488017,0.7598989600930168,0.741002159115445,0.04960788232273461,9.841734871187194,0.0068116960361986854,-0.18665621960479845,0.16809981330527896,-0.05138339920948617,0.81588781284032,False
hf_over_lf,20-45 Hz / 1-20 Hz,rim,True,11,0.45048095772711216,0.45048095772711216,0.39263733795210964,-0.3730478182321199,-1.3282778685912542,0.9339368494071342,-0.39090909090909093,0.23454006709519437,False,-0.5896214461908992,-1.6621346675356203,0.9339368494071342,1.0,12,0.4573632997708432,0.3613406439828508,0.5411070785075647,0.36938182888768284,-0.24217217336300406,0.8268122776185821,0.3426573426573427,0.2755674509567803,False,0.11816596742340685,-0.366912747248161,0.8268122776185821,0.6241871347811788,0.00688234204373106,1.5277764632839765,0.009473056349836948,-0.074552244277384,0.09470792054494004,0.02075098814229249,0.9251264681656183,False
p2p_median_uv,1-s p2p median (uV),core,True,11,17.331968346672433,19.313836313594194,17.92654035656579,-4.038989653850325,-18.378557874692845,4.503730489406319,-0.23636363636363636,0.4840911622253965,False,-2.6862827180399136,-11.753585116393122,7.4059347385699485,0.5455073737973424,12,19.786020452570177,17.933944111333247,19.007475283938945,4.526174193833546,-7.965352210320706,14.88555626676471,0.4055944055944056,0.19083587400450036,False,3.405258670520377,-10.409577174623442,10.450732959870393,0.6998632345031104,2.4540521058977447,14.15910793749458,2.2842345654393545,0.9697246798693141,3.559672107044172,0.650197628458498,0.0007832770321934849,False
