session,device,channel,region,hf_20_40_uv_rms,rms_1_20_uv,p2p_median_uv,p2p_p99_uv,p2p_p99_over_median,pct_windows_over_common,pct_break_windows_over_common,pct_all_windows_over_common,pops_per_min,rail_pct,marked_bad,erp_trials,single_trial_noise_uv,evoked_sem_uv
gng_epocx,epocx,AF3,prefrontal,0.47768875238160174,1.6467608311005313,9.462409722101386,19.410959771452987,2.051375954067465,0.0,0.0,0.0,0.0,,False,386,5.647946956519785,0.2874729310242286
gng_epocx,epocx,F7,frontal,0.612285413819775,2.9869208669611464,15.637074365931566,38.48626841878842,2.461219248444473,0.0,0.0,0.0,0.0,,False,385,5.485920168199337,0.2795883806173819
gng_epocx,epocx,F3,frontal,0.5632031988865014,2.89250609490027,15.670765329959485,27.24701656388628,1.738716392606252,0.0,0.0,0.0,0.0,,False,386,5.925569341259609,0.3016035383534927
gng_epocx,epocx,FC5,fronto-central,0.6265350039689572,2.330244251343517,13.46188641398675,22.845012691353265,1.697014221396011,0.0,0.0,0.0,0.0,,False,386,5.618825087468265,0.28599066691700636
gng_epocx,epocx,T7,central,0.7480173828295498,3.8221974557178706,20.388486231792882,37.961041747191,1.861886229101024,0.0,0.0,0.0,0.0,,False,386,4.383442331169868,0.22311134021229453
gng_epocx,epocx,P7,parietal,0.8599294631392468,3.996442216347957,24.440833226358144,39.311712616978284,1.608444043330842,0.0,0.0,0.0,0.0,,False,386,3.8176685849619347,0.19431421474864238
gng_epocx,epocx,O1,occipital,1.2454112643155892,4.786254135849078,28.02424495927324,45.32137927376055,1.6172203511503946,0.0,0.0,0.0,0.0,,False,386,5.068505940415007,0.2579801598389378
gng_epocx,epocx,O2,occipital,1.0523746020089284,4.091867014126437,22.57978087923283,40.55514239272972,1.7960821944923862,0.0,0.0,0.0,0.0,,False,386,5.349733763013029,0.272294279123378
gng_epocx,epocx,P8,parietal,0.897485623063374,3.4695708856091056,19.769072026412154,34.74162893629051,1.7573727734854985,0.0,0.0,0.0,0.0,,False,386,5.902620080574761,0.30043545173994957
gng_epocx,epocx,T8,central,1.0165582096885697,3.726813163029998,21.092390488730892,35.96341035144898,1.705041937786202,0.0,0.0,0.0,0.0,,False,384,6.7773912111662025,0.34585729697042655
gng_epocx,epocx,FC6,fronto-central,0.6662933148441613,2.9937290643214824,16.89284196717471,30.74366054889127,1.8199223439508134,0.07513148009015778,0.0,0.0725163161711385,0.0,,False,380,7.285164567847612,0.3737210568994723
