site,session,device,channel,hf_20_40_uv_rms,p2p_p99_over_median,pct_windows_over_common,pops_per_min,single_trial_noise_uv,marked_bad
AF3,gng_epocx,epocx,AF3,0.47768875238160174,2.051375954067465,0.0,0.0,5.647946956519785,False
AF3,gng_epocx_2,epocx,AF3,0.7058216592092313,2.7411911404676084,0.14936519790888725,0.09197274349424571,5.681928465740256,False
AF3,gng_flex,flex,Fp1,2.222300578738512,3.822505641799756,0.3770739064856712,0.1039171909884311,7.525221898642235,False
AF3,oddball_flex,flex,Fp1,3.3783223815297307,2.472438638070736,0.2012072434607646,0.07848347044095856,10.079550349645679,False
F7,gng_epocx,epocx,F7,0.612285413819775,2.461219248444473,0.0,0.0,5.485920168199337,False
F7,gng_epocx_2,epocx,F7,0.5992919933653201,2.7092251736299886,0.0,0.09197274349424571,5.731919009379322,False
F7,gng_flex,flex,F7,1.540095990603375,3.127226208618828,0.1508295625942685,0.1039171909884311,7.0585812824439635,False
F7,oddball_flex,flex,F7,2.0593442949060745,3.03960821508791,0.0670690811535882,0.0,9.215980185194322,False
F3,gng_epocx,epocx,F3,0.5632031988865014,1.738716392606252,0.0,0.0,5.925569341259609,False
F3,gng_epocx_2,epocx,F3,0.5636831000704787,2.360941640886529,0.07468259895444362,0.09197274349424571,6.0568038862439675,False
F3,gng_flex,flex,F3,1.752511179094559,4.332241100646802,0.6787330316742082,0.2078343819768622,7.626137161991178,False
F3,oddball_flex,flex,F3,2.31232188760224,2.6156786526196862,0.2682763246143528,0.07848347044095856,9.830271996787104,False
FC5,gng_epocx,epocx,FC5,0.6265350039689572,1.697014221396011,0.0,0.0,5.618825087468265,False
FC5,gng_epocx_2,epocx,FC5,0.6373075432238882,2.0747315810790243,0.0,0.09197274349424571,5.711326509328375,False
FC5,gng_flex,flex,FC5,1.3619698411002956,2.2809556039523637,0.22624434389140274,0.1039171909884311,6.539059422172492,False
FC5,oddball_flex,flex,FC5,2.275091452301656,2.7501118762956644,0.0670690811535882,0.0,8.871467412941001,False
T7,gng_epocx,epocx,T7,0.7480173828295498,1.861886229101024,0.0,0.0,4.383442331169868,False
T7,gng_epocx_2,epocx,T7,0.9538556372230742,3.3140704773464544,0.2987303958177745,0.09197274349424571,5.228132721770681,False
T7,gng_flex,flex,T7,1.5571170019985667,5.274748358890196,0.603318250377074,0.5195859549421554,5.795078489986837,False
T7,oddball_flex,flex,T7,2.0905770742855863,6.132349026206802,1.7437961099932933,0.07848347044095856,7.746292160778274,False
P7,gng_epocx,epocx,P7,0.8599294631392468,1.608444043330842,0.0,0.0,3.8176685849619347,False
P7,gng_epocx_2,epocx,P7,1.0247214114042027,1.9480871183060058,0.07468259895444362,0.09197274349424571,4.25011619008025,False
P7,gng_flex,flex,P7,2.1433002617501917,1.8495274297735727,0.0,0.5195859549421554,5.7692491264955,False
