session,device,channel,region,pair,alpha_db_closed,alpha_db_open,alpha_rel_db_closed,alpha_rel_db_open,closed_minus_open_db,rel_closed_minus_open_db
gng_epocx,epocx,AF3,prefrontal,1,3.37376811367436,3.77208017236084,1.0945938528409056,2.5125141769387422,-0.39831205868648034,-1.4179203240978366
gng_epocx,epocx,AF4,prefrontal,1,3.686165211451218,3.8372088942195033,0.46824343882120084,1.670964237062563,-0.1510436827682855,-1.2027207982413621
gng_epocx,epocx,F3,frontal,1,1.1845959857687611,2.118622446231763,0.32291932347827984,2.802448345849146,-0.9340264604630018,-2.479529022370866
gng_epocx,epocx,F7,frontal,1,1.57015395208579,2.3767945321959063,0.30565500815280133,2.0321796203797335,-0.8066405801101164,-1.7265246122269322
gng_epocx,epocx,F8,frontal,1,3.0961933720708705,4.27588106764674,0.048873869478393867,1.8527496291673664,-1.1796876955758693,-1.8038757596889725
gng_epocx,epocx,FC5,fronto-central,1,0.5856307073951692,2.276166760199854,0.4376318876949463,2.752212554772795,-1.6905360528046849,-2.3145806670778484
gng_epocx,epocx,FC6,fronto-central,1,3.2249226245797793,4.552761365242874,0.2766544675965237,2.169429115887907,-1.3278387406630943,-1.8927746482913832
gng_epocx,epocx,O1,occipital,1,2.042812597951639,1.5273560279466025,2.055975772052731,1.6534124201476748,0.5154565700050364,0.40256335190505643
gng_epocx,epocx,O2,occipital,1,2.388639101802868,1.5361096091099582,1.3481539801862783,1.871208428523051,0.8525294926929097,-0.5230544483367727
gng_epocx,epocx,P7,parietal,1,-1.8332603714337488,-2.0605978782065684,1.1556896281774942,1.6876179427112596,0.2273375067728196,-0.5319283145337654
gng_epocx,epocx,P8,parietal,1,1.6897526633573554,1.7318761902016582,0.6900349834793617,1.1944077944208682,-0.04212352684430276,-0.5043728109415065
gng_epocx,epocx,T7,central,1,-0.9987790674680331,-0.1084558458717507,0.4443667116778053,1.823911361299809,-0.8903232215962824,-1.3795446496220038
gng_epocx,epocx,T8,central,1,3.23872552167951,3.4310303890962546,0.7717645439341769,1.0126323547440694,-0.19230486741674468,-0.2408678108098925
gng_flex,flex,C3,central,1,2.201278406072965,2.963307812429255,0.6822653973211011,-0.16450588123416832,-0.76202940635629,0.8467712785552695
gng_flex,flex,C3,central,2,1.6972564272279924,4.794330396899107,-0.470582107118513,0.06537851237703371,-3.0970739696711145,-0.5359606194955467
gng_flex,flex,C4,central,1,3.009923387218014,3.6279367450623,0.555071099540292,-0.3453216795128302,-0.6180133578442861,0.9003927790531222
gng_flex,flex,C4,central,2,2.576310118335689,5.724974580377609,-0.4441807946812559,0.20285880162366138,-3.1486644620419195,-0.6470395963049173
gng_flex,flex,CP1,centro-parietal,1,2.3312109323502783,3.2596082753591804,0.524798862145417,-0.29589513074678253,-0.9283973430089021,0.8206939928921996
gng_flex,flex,CP1,centro-parietal,2,1.9903917727222744,4.959409518604169,-0.33334812676674386,0.03919535529959813,-2.969017745881895,-0.37254348206634197
gng_flex,flex,CP2,centro-parietal,1,2.5319893943216694,3.491058030927445,0.6443919265508586,-0.16988068542908735,-0.9590686366057755,0.8142726119799459
gng_flex,flex,CP2,centro-parietal,2,2.1426791105652288,5.195004799091475,-0.30912852881331343,0.10126937043235361,-3.052325688526246,-0.41039789924566705
gng_flex,flex,CP5,centro-parietal,1,1.1418367986887832,2.0305439326836257,0.575912137744936,-0.09541850225593825,-0.8887071339948425,0.6713306400008743
gng_flex,flex,CP5,centro-parietal,2,0.5529650097624805,3.4473919074078148,-0.6359895198113595,-0.17169893820889026,-2.8944268976453342,-0.4642905816024693
gng_flex,flex,CP6,centro-parietal,1,2.9789357010892963,3.9435752566771916,0.17274244577449627,-0.09434784216011431,-0.9646395555878953,0.2670902879346106
gng_flex,flex,CP6,centro-parietal,2,2.5553913363424794,5.616509797900653,-0.47308844021156415,0.03402478119623947,-3.0611184615581735,-0.5071132214078036
gng_flex,flex,Cz,central,1,2.508236721064652,3.1147321609075367,0.6555511323319339,-0.22312169382367386,-0.6064954398428846,0.8786728261556077
gng_flex,flex,Cz,central,2,2.1552409233558474,5.155311970470357,-0.26975805117860313,0.061704190767798144,-3.0000710471145093,-0.3314622419464013
gng_flex,flex,F3,frontal,1,3.1584400908339494,3.51687926475714,0.3963173984949566,-0.683010816520333,-0.3584391739231907,1.0793282150152896
gng_flex,flex,F3,frontal,2,2.89103632827648,5.6856378775739636,-0.210034702936607,-0.15044789405496878,-2.7946015492974836,-0.059586808881638226
gng_flex,flex,F4,frontal,1,3.9166567607311458,4.345533509459333,0.4929611499318812,-0.33015965714544215,-0.42887674872818726,0.8231208070773234
gng_flex,flex,F4,frontal,2,3.279040992856754,6.277112098937164,-0.4791290941080044,0.17600636156546282,-2.99807110608041,-0.6551354556734672
gng_flex,flex,F7,frontal,1,2.4145131130908104,3.8996758812882026,0.37983663871027445,-0.9145753001912189,-1.4851627681973922,1.2944119389014934
gng_flex,flex,F7,frontal,2,2.3308700790528865,5.821768343813352,-0.34902875411978984,-0.44820283886428547,-3.490898264760465,0.09917408474449563
gng_flex,flex,F8,frontal,1,4.17226087648146,5.283429616779843,0.5810871017912949,-0.022331197643280544,-1.1111687402983828,0.6034182994345754
gng_flex,flex,F8,frontal,2,3.8105453773404974,6.766681292611575,-0.2318085033018331,-0.05454477491542664,-2.9561359152710778,-0.17726372838640647
gng_flex,flex,FC1,fronto-central,1,1.689746108433134,2.0307650102801924,0.4786016197864855,-0.5512595176685002,-0.3410189018470584,1.0298611374549858
gng_flex,flex,FC1,fronto-central,2,1.429990591661344,4.038250849520749,-0.03899726292783863,-0.11749610533370437,-2.6082602578594054,0.07849884240586574
gng_flex,flex,FC2,fronto-central,1,2.128092537504427,2.2802013627153417,0.7313182662214781,-1.0946516003935427,-0.15210882521091484,1.8259698666150208
gng_flex,flex,FC2,fronto-central,2,1.518206781516469,4.6089645327606785,-0.6201893638834879,0.1605857492651715,-3.0907577512442095,-0.7807751131486593
gng_flex,flex,FC5,fronto-central,1,1.8825905740041546,2.8527235917907134,0.5398301390816668,-0.345548081160269,-0.9701330177865588,0.8853782202419358
gng_flex,flex,FC5,fronto-central,2,1.5222668425935084,4.7343264367857,-0.3298026374311681,-0.06562596403200253,-3.212059594192192,-0.26417667339916556
gng_flex,flex,FC6,fronto-central,1,3.6872045786280188,4.356457263138378,0.5539560478877726,-0.2829885595080476,-0.6692526845103597,0.8369446073958202
gng_flex,flex,FC6,fronto-central,2,3.286301407012089,6.221898040878124,-0.21849161603916367,0.037045097501469566,-2.9355966338660355,-0.25553671354063323
gng_flex,flex,FT10,fronto-central,1,3.39519770616533,4.285212492221814,0.7802388973111539,0.32438443573973524,-0.8900147860564842,0.4558544615714187
gng_flex,flex,FT10,fronto-central,2,3.1246607860856646,5.575549399360816,0.19133018096692733,0.13987147024253926,-2.4508886132751515,0.05145871072438807
gng_flex,flex,FT9,fronto-central,1,0.5203513114869464,1.9154820109161332,0.09213679094110097,-0.6518697143110685,-1.395130699429187,0.7440065052521695
gng_flex,flex,FT9,fronto-central,2,0.312686136925424,3.708468212812476,-1.4153309036757935,-0.2322705633730329,-3.395782075887052,-1.1830603403027606
gng_flex,flex,Fp1,prefrontal,1,5.077243859517971,4.946963648867662,0.26691641467268445,-1.0638044578302748,0.1302802106503087,1.3307208725029591
gng_flex,flex,Fp1,prefrontal,2,4.7418808176760345,7.70023641848371,-0.17398174643298797,-0.08384118730819456,-2.9583556008076757,-0.0901405591247934
gng_flex,flex,Fp2,prefrontal,1,5.45469290342386,4.978448673348238,0.2266771520275796,-0.9004354781378286,0.476244230075622,1.1271126301654082
gng_flex,flex,Fp2,prefrontal,2,4.678324293391295,7.398435672907912,-0.24202876623153297,-0.10219121537183978,-2.7201113795166165,-0.13983755085969318
gng_flex,flex,Fz,frontal,1,3.363168017719109,3.412394130385313,0.5656646475702614,-0.7345997364854082,-0.04922611266620436,1.3002643840556696
gng_flex,flex,Fz,frontal,2,2.7466536981017664,5.7451084916128,-0.4566162196535773,-0.04024645603001146,-2.998454793511034,-0.4163697636235658
gng_flex,flex,O2,occipital,1,0.9056288434192863,2.653013403519959,-0.06843763870369884,0.08771582683253834,-1.7473845601006726,-0.15615346553623718
gng_flex,flex,O2,occipital,2,0.3719607519464954,3.433555855846544,0.7025001958150003,0.028328759456709228,-3.0615951039000486,0.6741714363582911
gng_flex,flex,Oz,occipital,1,3.294657621293255,4.715932985315556,0.6247735853168802,0.40894735951859523,-1.4212753640223008,0.21582622579828498
gng_flex,flex,Oz,occipital,2,4.331429609272752,4.521159412692266,-0.09810913070107141,-0.5482025274238718,-0.18972980341951384,0.45009339672280035
gng_flex,flex,P3,parietal,1,1.881227200529776,3.0585102121275183,0.656692115158425,-0.11900449529614876,-1.1772830115977422,0.7756966104545737
gng_flex,flex,P3,parietal,2,1.3722294481775164,4.085052267927109,0.014054367780429879,-0.10483836732772216,-2.7128228197495927,0.11889273510815204
gng_flex,flex,P4,parietal,1,1.3892272062953916,2.827795519551477,0.19216318775267516,-0.4680866721110474,-1.4385683132560854,0.6602498598637225
gng_flex,flex,P4,parietal,2,0.9975778149410452,3.761835660607421,-0.09393135068964985,-0.024643559585581887,-2.764257845666376,-0.06928779110406796
gng_flex,flex,P7,parietal,1,0.3580781736496702,2.1605386446858086,0.6831449033808662,0.33540087515989364,-1.8024604710361385,0.34774402822097256
gng_flex,flex,P7,parietal,2,0.014644718818929927,2.5624274671530394,-0.17327157844552277,-0.2832586908208259,-2.5477827483341096,0.10998711237530312
gng_flex,flex,P8,parietal,1,2.9559197583306607,3.3666028528195033,0.7331636869439818,-0.6482205476003251,-0.41068309448884266,1.3813842345443068
gng_flex,flex,P8,parietal,2,2.6842493392851443,5.704943241974243,0.17191536917204625,0.04366418512793049,-3.020693902689099,0.12825118404411576
gng_flex,flex,Pz,parietal,1,1.4492767159255469,2.3146574546726515,0.6639862102843856,-0.11347970276842922,-0.8653807387471046,0.7774659130528149
gng_flex,flex,Pz,parietal,2,0.6401896224595531,3.387410816443252,-0.09665184495399562,0.008464666765322657,-2.747221193983699,-0.10511651171931828
gng_flex,flex,T7,central,1,1.0142896737018365,2.0301343140733747,0.515703157752325,-0.18006994436471113,-1.0158446403715382,0.6957731021170361
gng_flex,flex,T7,central,2,0.3394894604384752,3.714963517684795,-0.6672667867948069,-0.08166012883155449,-3.3754740572463198,-0.5856066579632524
gng_flex,flex,T8,central,1,4.0114992611611475,5.125700252964201,0.2614357596116948,0.2279661966518917,-1.1142009918030533,0.033469562959803106
gng_flex,flex,T8,central,2,3.5890741066270326,6.503757648395245,-0.5845106656456072,0.02382982397611587,-2.9146835417682126,-0.608340489621723
oddball_flex,flex,C3,central,1,1.667522699401317,3.858231947466631,-0.4372758718973714,0.11177603832403182,-2.190709248065314,-0.5490519102214032
oddball_flex,flex,C3,central,2,1.7578706057223985,2.9258583657857966,-0.5050587098790742,0.2310727226500385,-1.167987760063398,-0.7361314325291127
oddball_flex,flex,C4,central,1,2.794464470452503,4.796764539106415,-0.3080375201740619,0.24688510507302447,-2.0023000686539123,-0.5549226252470864
oddball_flex,flex,C4,central,2,3.080624278860347,3.5475217558077783,0.14045815826211205,-0.20362294279907892,-0.4668974769474312,0.34408110106119094
oddball_flex,flex,CP1,centro-parietal,1,1.632060181765143,4.113496723858054,-0.4003963552508426,0.5495148557848091,-2.481436542092911,-0.9499112110356517
oddball_flex,flex,CP1,centro-parietal,2,1.9638626840142042,4.460542858184639,-0.055539804624468135,0.7675907853318354,-2.496680174170435,-0.8231305899563036
oddball_flex,flex,CP2,centro-parietal,1,2.0563474377159476,4.388910007372985,-0.3398155772907014,0.4656117899026062,-2.3325625696570373,-0.8054273671933077
oddball_flex,flex,CP2,centro-parietal,2,2.3296374201783725,5.307111288597057,0.04719287984700709,0.6434812316258778,-2.9774738684186848,-0.5962883517788707
oddball_flex,flex,CP5,centro-parietal,1,0.41238612683962567,2.653292898278852,-0.42350686175640184,0.3919534723203373,-2.2409067714392266,-0.8154603340767391
oddball_flex,flex,CP5,centro-parietal,2,0.8614903606885411,2.168709714640627,0.048619814284037034,0.9312100708314451,-1.3072193539520858,-0.8825902565474081
oddball_flex,flex,CP6,centro-parietal,1,2.610511719781236,4.446445455997827,-0.11438392264974791,-0.022034125380061144,-1.8359337362165906,-0.09234979726968676
oddball_flex,flex,CP6,centro-parietal,2,3.271519420444924,3.6380713700800102,0.6648327087708749,0.006896557879296895,-0.3665519496350864,0.657936150891578
oddball_flex,flex,Cz,central,1,2.2936151953724346,4.311968779070699,-0.4356586328231262,-0.016463987890671196,-2.0183535836982642,-0.419194644932455
oddball_flex,flex,Cz,central,2,2.3576761453854704,5.7904459211216475,-0.25660205230186117,0.21170446328740633,-3.432769775736177,-0.4683065155892675
oddball_flex,flex,F3,frontal,1,2.6119142270218125,5.26076902178667,-0.5524380740930818,0.01780532845419123,-2.6488547947648575,-0.570243402547273
