session,chunk,elapsed_min,t_start_s,t_end_s,task_minutes,channel,row,in_core,in_inner,marked_bad,p2p_median_uv,p2p_p99_over_median,pct_windows_over_common,hf_20_45_uv_rms,rms_1_20_uv,hf_over_lf,pops_per_min,n_windows,rail_pct,wander_uv,wander_rate_uv_per_s,drift_uv_per_min,gaps_per_min,lost_samples,has_gap
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,C3,C,True,True,False,16.182694326031648,19.230081282504067,4.132231404958678,1.6281780619730974,7.0337365722802145,0.23148123977086485,0.9917355371900827,121,0.0,14.252909755705696,2.2931632995609093,2.4095532591042907,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,T7,,False,False,False,19.92986882237408,9.513653695574098,3.3057851239669422,2.045925619122688,4.713208565524129,0.4340834042626698,0.0,121,0.0,27.5796776771542,4.631705284118084,1.2143790566582586,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,FC1,,False,True,False,20.255299767250158,1.902194321447791,0.0,1.9201395793164928,2.608837265688135,0.7360135507762368,0.0,121,0.0,8.253914833069228,2.73509979248054,-0.4663285634491646,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,FC5,,False,False,False,20.254346264772092,9.875954125969582,2.479338842975207,1.9772931398321587,5.1569349784521705,0.38342409747148565,0.9917355371900827,121,0.09039256198347108,204.01115865707348,4.275001525878622,-235.91989425642925,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,FT9,,False,False,False,29.222223475321666,6.018068976047283,3.3057851239669422,2.738979508496684,9.010515813579856,0.30397588386324514,0.9917355371900827,121,0.025826446280991736,37.11202454566964,8.713942527770811,-4.098172249561969,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,F3,F,True,True,False,27.970081941662052,3.62194369439044,0.0,2.2582253199797697,8.390630590733132,0.26913654409643806,0.0,121,0.05165289256198347,22.41747179031358,6.97870826721266,-6.853242376278638,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,F7,,False,False,False,25.639772366401132,3.4148174772134046,0.0,2.519227105954037,9.77704101330278,0.2576676422371903,0.0,121,0.06456611570247935,34.21975026130688,7.76752281188989,-20.20286592736744,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,Fp1,,False,False,False,28.02421712789176,6.624484823244381,4.132231404958678,3.480960034294481,27.40689174278945,0.12701039092513275,0.0,121,1.7045454545454544,1232.0087113380434,26.055901527405013,-1614.700747806115,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,Pz,P,True,True,False,17.92056871989728,1.615510242845609,0.0,1.9601136550844682,4.29351857023753,0.4565285145549118,0.0,121,0.0,6.321416282653466,2.5799331665040643,-0.12699272837001307,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,Cz,C,True,True,False,19.313836313594194,3.086808548778474,0.0,1.6127723851556186,2.9578052763956064,0.5452598242440589,0.0,121,0.0,8.79173927307086,2.3647069931033187,0.031748612951154186,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,O1,,False,False,True,36.9526063569161,3.097263056360488,0.0,5.418672506234577,6.7746571638540996,0.7998445345907211,0.0,121,0.3357438016528926,27.070483922957596,3.759255409241195,31.355130212325477,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,PO9,,False,False,True,39.46937244934911,11.32227637012142,10.743801652892563,3.3871505034398393,11.902699301267816,0.28456994650608847,1.9834710743801653,121,0.1678719008264463,166.68035764694235,6.779464721679668,176.10050735595644,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,P3,P,True,True,False,19.36511994148762,1.7269788094253204,0.0,2.586154949645555,4.058363147130036,0.6372408914353594,0.0,121,0.012913223140495868,9.381848430633466,2.874830245971342,0.948952438703766,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,P7,,False,False,False,25.41136604803571,1.7812178418989781,0.0,3.124493464614686,5.291323404407969,0.5904937622999584,0.0,121,0.0,8.945461606978839,2.1176710128789082,1.460593137443011,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,CP1,,False,True,False,16.80698712509858,1.7428642234075344,0.0,1.9594243921677301,2.8312869503034404,0.6920613934796439,0.0,121,0.0,8.110658121109118,2.4164037704467347,0.5111966819090744,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,CP5,,False,False,False,15.551571651564728,1.8359081464362892,0.0,1.9411492708980993,3.556570930178088,0.5457923682688651,0.0,121,0.0,7.303145408630137,2.344611644745168,-0.3072195629379433,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,C4,C,True,True,False,16.085333008319786,1.6166091477748912,0.0,1.8881344907638542,3.2870246584894467,0.5744205434806647,0.0,121,0.012913223140495868,10.146430873871333,3.498237609862737,-1.8886652110326394,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,T8,,False,False,False,28.186364777625705,2.402515326725032,0.0,3.0190536691807384,6.24300184971519,0.48359006482089534,0.0,121,0.09039256198347108,28.684645652771252,6.819235801696891,-27.010051621905014,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,FC2,,False,True,False,17.58358851650918,2.0293105996702447,0.0,1.9585800238538924,2.9689410900107114,0.6596897562042318,0.0,121,0.0,15.905865240097391,3.416502952575291,-1.8004882376259361,0.0,0,False
gng_flex,1,4.471325728258914,238.02636541769607,298.53272197337355,1.0083333333333333,FC6,,False,False,False,20.799398630889918,2.9281187506756976,0.0,2.570491712844359,5.50569720222081,0.46687851119155455,0.0,121,0.05165289256198347,28.003303718567636,7.074029922485593,-2.9746983478597144,0.0,0,False
