metric,state,pair,n_channels,hours_apart,early_min,late_min,early_value,late_value,change,change_lo,change_hi,per_hour,per_hour_lo,per_hour_hi,worse_channels,value_at_target_worst_case
hf_20_45_uv_rms,closed,1,9,0.76327987847084,0.4065283333333333,46.203321041583735,1.933407054609943,2.0764356544828075,0.10314623782211092,-0.3228161742438207,0.43597335820036004,0.1351355390486053,-0.4229329022671903,0.5711841363796881,7,3.3613673955591636
hf_20_45_uv_rms,closed,2,9,0.7670668923597289,1.9167375000000002,47.94075104158374,2.0212063684959687,1.8841287083523188,-0.12236010514004837,-0.4276299948042592,0.09403894724973938,-0.15951686399035137,-0.5574872270770812,0.12259549745452739,4,2.3276951121322873
hf_20_45_uv_rms,open,1,9,0.7652119062486179,1.1311333333333333,47.043847708250404,2.2351727143953806,2.2328480830104565,-0.14427090374830015,-0.3098784925884382,0.00307534861406209,-0.1885371915546573,-0.4049577509942173,0.004018950292003045,3,2.2452200901253883
hf_20_45_uv_rms,open,2,9,0.7679002951375067,2.9570708333333333,49.031088541583735,2.2197338361347594,2.261283207326295,-0.02952377720327664,-0.20656616102385525,0.11791309967297735,-0.03844740963146767,-0.2690012783324504,0.15355261668686146,6,2.603615377851913
p2p_median_uv,closed,1,9,0.76327987847084,0.4065283333333333,46.203321041583735,14.319412964421389,15.14842311671346,0.3263471416504675,-0.8566605660975553,1.6256036664435078,0.42755894771426906,-1.122341345895027,2.129760933434081,6,19.64381529800659
p2p_median_uv,closed,2,9,0.7670668923597289,1.9167375000000002,47.94075104158374,14.24471522415918,15.018572115703423,0.7091784028215873,-0.43137535087542606,1.9235706963603236,0.9245326709903237,-0.5623699251943797,2.5076961546897696,5,20.513955610883603
p2p_median_uv,open,1,9,0.7652119062486179,1.1311333333333333,47.043847708250404,19.574769867984735,17.998124982689276,-1.6836315206323489,-3.0968642477372406,-0.3822158869022235,-2.200216053728437,-4.047067514826497,-0.49949025071499775,2,18.32604424119724
p2p_median_uv,open,2,9,0.7679002951375067,2.9570708333333333,49.031088541583735,17.062122261127268,25.85486583627598,8.205243343225927,5.743156433987761,11.176866373551755,10.685297811686121,7.479039232507839,14.55510102590901,9,53.4498748258998
pct_windows_over_common,closed,1,9,0.76327987847084,0.4065283333333333,46.203321041583735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
pct_windows_over_common,closed,2,9,0.7670668923597289,1.9167375000000002,47.94075104158374,0.0,0.0,0.5249343832020997,0.0,1.574803149606299,0.6843397732722415,0.0,2.053019319816724,1,5.13254829954181
pct_windows_over_common,open,1,9,0.7652119062486179,1.1311333333333333,47.043847708250404,0.0,0.0,-0.46948356807511743,-1.0954616588419406,0.0,-0.6135340606195193,-1.4315794747788781,0.0,0,0.0
pct_windows_over_common,open,2,9,0.7679002951375067,2.9570708333333333,49.031088541583735,0.0,5.217391304347826,5.809544722588201,2.608695652173913,9.795783926218709,7.565493540470504,3.397180166087549,12.75658309841461,8,31.891457746036526
rail_pct,closed,1,9,0.76327987847084,0.4065283333333333,46.203321041583735,0.0,0.0,0.008579262607071038,-0.0032251853041965605,0.02077419865987511,0.01123999577227005,-0.0042254294855222935,0.027217013373252125,3,0.06804253343313031
rail_pct,closed,2,9,0.7670668923597289,1.9167375000000002,47.94075104158374,0.0,0.0,0.005448626265102912,0.0,0.010897252530205823,0.007103195717835371,0.0,0.014206391435670741,3,0.03551597858917685
rail_pct,open,1,9,0.7652119062486179,1.1311333333333333,47.043847708250404,0.15438906043228937,0.18441678192715535,0.05775961087634193,0.02134440313076478,0.09139202605534441,0.07548185071963033,0.02789345403079754,0.11943361741897815,8,0.4529731039797348
rail_pct,open,2,9,0.7679002951375067,2.9570708333333333,49.031088541583735,0.1539190149183045,1.942810233958134,1.814500920600411,1.7008896831632965,1.9435712318088985,2.3629381732110044,2.21498766693236,2.531020295363822,9,6.481469753327859
wander_rate_uv_per_s,closed,1,9,0.76327987847084,0.4065283333333333,46.203321041583735,2.213127136230227,1.7351531982424149,0.20502842797150952,-0.5795562876597915,1.1204751332597953,0.2686150044755075,-0.7592972171896872,1.467974153209125,5,5.8830625192530395
wander_rate_uv_per_s,closed,2,9,0.7670668923597289,1.9167375000000002,47.94075104158374,2.257104873657238,2.0719146728516975,0.3515339422661067,-0.374519417130374,1.163331965605096,0.4582832941527203,-0.4882487053746244,1.5165978054747433,5,6.048599387344097
wander_rate_uv_per_s,open,1,9,0.7652119062486179,1.1311333333333333,47.043847708250404,4.661965847014326,5.18665790557894,-0.06922621197131996,-1.0208999448349136,0.8907748725681284,-0.09046672092531231,-1.3341401728049205,1.1640891435355096,5,7.572188705853099
wander_rate_uv_per_s,open,2,9,0.7679002951375067,2.9570708333333333,49.031088541583735,3.7075662612910065,4.203678131104155,-0.2582369910344673,-1.7036787430441374,0.9503532568608798,-0.3362897405687612,-2.218619726847562,1.2375998067440532,5,6.80156577815114
