session,device,region,n_channels,n_bad,hf_uv,p2p_median_uv,p2p_ratio,pct_over_common,pct_over_in_breaks,pops_per_min,single_trial_uv,evoked_sem_uv
gng_epocx,epocx,prefrontal,2,0,0.7282390724683442,15.084926389848366,2.8861282275192064,0.11269722013523666,0.0,0.04612280196021909,6.235071952810619,0.3198848333015608
gng_epocx,epocx,frontal,4,1,0.6039331166334663,15.653919847945525,2.467197170630681,0.0,0.0,0.0,5.925569341259609,0.3016035383534927
gng_epocx,epocx,fronto-central,2,0,0.6464141594065593,15.17736419058073,1.7584682826734124,0.03756574004507889,0.0,0.0,6.451994827657938,0.32985586190823935
gng_epocx,epocx,central,2,0,0.8822877962590597,20.740438360261887,1.783464083443613,0.0,0.0,0.0,5.580416771168036,0.28448431859136053
gng_epocx,epocx,parietal,2,0,0.8787075431013104,22.10495262638515,1.6829084084081702,0.0,0.0,0.0,4.860144332768348,0.247374833244296
gng_epocx,epocx,occipital,2,0,1.1488929331622588,25.302012919253034,1.7066512728213903,0.0,0.0,0.0,5.209119851714018,0.26513721948115787
gng_epocx_2,epocx,prefrontal,2,0,0.690060657212921,14.661462974542264,2.5042866219628763,0.11202389843166544,,0.09197274349424571,6.419582850346755,0.335354517510109
gng_epocx_2,epocx,frontal,4,0,0.6236452783804729,17.015354083274882,2.63673959496725,0.03734129947722181,,0.09197274349424571,6.654276152170762,0.3480412834537483
gng_epocx_2,epocx,fronto-central,2,0,0.7046094840450665,16.229947068962492,2.547583090948968,0.18670649738610903,,0.13795911524136856,6.780984068353078,0.3562349173959622
gng_epocx_2,epocx,central,2,0,0.9120057943992994,28.373905246668446,3.333948862998964,0.22404779686333087,,0.13795911524136856,6.774466032009744,0.35708685662715245
gng_epocx_2,epocx,parietal,2,0,0.9595490621547076,24.432978147505786,2.7582610739436872,0.07468259895444362,,0.09197274349424571,5.524732505549437,0.2893637601692647
gng_epocx_2,epocx,occipital,2,0,1.3499048371596092,28.243985330622227,2.162507760517314,0.37341299477221807,,0.22993185873561428,6.3586742573111295,0.3340228310691469
gng_flex,flex,prefrontal,2,0,1.8619965088080004,19.05961915322907,3.4992925659262166,0.26395173453996984,50.0,0.05195859549421555,7.399161177919611,0.3758821299425883
gng_flex,flex,frontal,5,0,1.6089108144644024,19.97122580179102,3.3579639223635294,0.0,26.53061224489796,0.0,7.626137161991178,0.3891696824032293
gng_flex,flex,fronto-central,6,0,1.923239723787202,23.55115979289632,3.005382126414144,0.301659125188537,18.36734693877551,0.1039171909884311,6.668081950102394,0.3387344039444248
gng_flex,flex,central,5,0,1.2960056489794995,17.478303007189425,2.7800829239813787,0.1508295625942685,20.408163265306122,0.1039171909884311,7.167751190046435,0.363419411555226
gng_flex,flex,centro-parietal,4,0,1.7199058251220265,18.527989410949207,1.7406704583758683,0.0,55.10204081632652,0.3637101684595088,7.0146775992743695,0.3556582724185494
gng_flex,flex,parietal,5,0,1.7901833956764837,18.843728432486554,2.2417684880696975,0.0,67.3469387755102,0.5195859549421554,6.521495057126355,0.3306529249246752
gng_flex,flex,occipital,5,3,2.749279221951305,39.262441777106304,3.2713768084761616,1.4328808446455505,89.79591836734694,1.247006291861173,6.703361139210195,0.3438538200106465
oddball_flex,flex,prefrontal,2,0,2.4168289763779285,24.705970145469635,2.384545414703224,0.1006036217303823,0.9943181818181818,0.03924173522047928,9.619322518288165,0.41904385685784185
oddball_flex,flex,frontal,5,0,2.0593442949060745,23.79813853786723,2.6156786526196862,0.0670690811535882,0.2840909090909091,0.0,9.830271996787104,0.4294374260837147
oddball_flex,flex,fronto-central,6,1,2.1628635482112877,23.793141283610254,3.3613726078016897,0.0670690811535882,0.2840909090909091,0.0,8.998832323039883,0.3916239092832875
oddball_flex,flex,central,5,0,1.5092610852354063,19.135077816256484,4.226586585315855,0.4024144869215292,0.0,0.07848347044095856,9.663708776716698,0.4213577260597576
oddball_flex,flex,centro-parietal,4,0,2.0786835408376,24.560590220259506,2.1324445670128025,0.1006036217303823,0.0,0.03924173522047928,9.161488707212742,0.39889347287538235
oddball_flex,flex,parietal,5,0,1.6186376365930197,19.8232500314055,2.266325005367556,0.0,0.0,0.0,8.411851921101377,0.3678246026603581
oddball_flex,flex,occipital,5,2,2.9383559356825586,36.435186586785825,6.308092493075361,2.9510395707578807,15.056818181818182,0.706351233968627,9.485059060429448,0.42718557557979137
