session,device,channel,region,state,pair,duration_s,hf_20_40_uv_rms,p2p_median_uv,p2p_p99_over_median,pct_windows_over_common,rail_pct,marked_bad
gng_epocx,epocx,AF3,prefrontal,closed,1,27.0702,0.4619509494504909,9.24180258576937,2.2489714057303605,0.0,,False
gng_epocx,epocx,F7,frontal,closed,1,27.0702,0.5984679666825485,15.108172810351737,3.3388985298125324,0.0,,False
gng_epocx,epocx,F3,frontal,closed,1,27.0702,0.5047769690447605,12.48028304325221,1.7785200979183482,0.0,,False
gng_epocx,epocx,FC5,fronto-central,closed,1,27.0702,0.5723622890832736,13.093813562941612,2.085860176648938,0.0,,False
gng_epocx,epocx,T7,central,closed,1,27.0702,0.6992767480801793,19.391660216209026,1.429283802048641,0.0,,False
gng_epocx,epocx,P7,parietal,closed,1,27.0702,0.788861229896622,21.388333167433117,1.3092107570289597,0.0,,False
gng_epocx,epocx,O1,occipital,closed,1,27.0702,1.2668887373711417,24.903328996686085,1.5026949645451375,0.0,,False
gng_epocx,epocx,O2,occipital,closed,1,27.0702,1.1417923920950819,20.7581793386909,1.9632771961629867,0.0,,False
gng_epocx,epocx,P8,parietal,closed,1,27.0702,0.8458919336605362,16.342693975999566,1.7555446333088622,0.0,,False
gng_epocx,epocx,T8,central,closed,1,27.0702,0.8949858599261379,19.191434629745785,2.2118214870889403,0.0,,False
gng_epocx,epocx,FC6,fronto-central,closed,1,27.0702,0.6634783057312565,16.001155387315798,2.9255965061149194,0.0,,False
gng_epocx,epocx,F4,frontal,closed,1,27.0702,0.5793407375903697,14.913177739801048,3.192104187798261,0.0,,True
gng_epocx,epocx,F8,frontal,closed,1,27.0702,0.5855986669956539,14.126966549796634,3.041502609673716,0.0,,False
gng_epocx,epocx,AF4,prefrontal,closed,1,27.0702,0.6522882985365654,19.185571315195762,1.9784676034062094,0.0,,False
gng_epocx,epocx,AF3,prefrontal,open,1,16.408499999999997,0.4699076294134918,9.441856876310986,1.3340070822916037,0.0,,False
