time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block
369.4691,GnG-low,nogo,47287,1.3196669917761028,False,True,,0
371.1662,GnG-low,nogo,47504,-0.28939422224993905,False,True,,0
372.7612,GnG-low,nogo,47708,-1.145590816179265,False,True,,0
374.1705,GnG-low,nogo,47889,3.6623630514327488,False,True,,0
375.8338,GnG-low,nogo,48101,-3.2335764041135917,False,True,,0
377.7154,GnG-low,nogo,48342,-1.8729747234260685,False,True,,0
379.4086,GnG-high,go,48559,0.8535174954431568,True,True,0.3762202676975253,0
380.7256,GnG-low,nogo,48727,-3.930530913066832,False,True,,0
382.5918,GnG-high,go,48966,-2.6532823447382725,True,True,0.4327017856710277,0
384.3436,GnG-low,nogo,49191,3.421065768804965,False,True,,0
386.0086,GnG-low,nogo,49404,3.1110613209648363,False,True,,0
387.7531,GnG-low,nogo,49627,0.6380374851460147,False,True,,0
389.4784,GnG-low,nogo,49848,1.9822444227770575,False,True,,0
391.3389,GnG-high,go,50086,1.3069604489714948,True,True,0.4166863853326343,0
393.062,GnG-low,nogo,50306,-3.035406664025686,False,True,,0
394.6869,GnG-low,nogo,50514,-2.8090071567135055,False,True,,0
396.1632,GnG-low,nogo,50703,-2.3049647762150016,False,True,,0
398.0923,GnG-high,go,50950,-1.5359091446498496,True,True,0.369140235646275,0
399.6292,GnG-low,nogo,51147,0.7653327441516922,False,True,,0
401.0007,GnG-low,nogo,51322,-3.4639585896343306,False,True,,0
403.0142,GnG-low,nogo,51580,-1.0071467790453426,False,True,,0
404.6294,GnG-low,nogo,51787,1.1318041413801438,False,True,,0
406.5121,GnG-high,go,52028,1.4926659859497704,True,True,0.34120502118777324,0
408.2492,GnG-low,nogo,52250,-0.9739018657910492,False,True,,0
409.8948,GnG-low,nogo,52461,2.073816032918785,False,True,,0
411.6539,GnG-low,nogo,52686,0.8173991566309269,False,True,,0
413.1346,GnG-low,nogo,52875,-3.0160801640022328,False,True,,0
414.6745,GnG-low,nogo,53072,-3.299061564518979,False,True,,0
418.1105,GnG-low,nogo,53512,-1.9155981037783931,False,True,,0
420.1407,GnG-low,nogo,53772,-0.63847131610828,False,True,,0
421.747,GnG-low,nogo,53978,2.6455136278968894,False,True,,0
423.3142,GnG-low,nogo,54178,-1.9027438022476417,False,True,,0
425.1804,GnG-high,go,54417,-0.6671766921613198,True,True,0.34892196662869235,0
426.9579,GnG-low,nogo,54645,3.4181111053612767,False,True,,0
428.8175,GnG-low,nogo,54883,3.321134431757855,False,True,,0
430.3878,GnG-low,nogo,55084,3.5148455903595277,False,True,,0
432.0924,GnG-high,go,55302,2.094664401283808,True,True,0.36619071012459364,0
433.7986,GnG-low,nogo,55520,-0.6216547243980131,False,True,,0
435.4122,GnG-low,nogo,55727,3.1571365168474586,False,True,,0
437.2095,GnG-low,nogo,55957,2.836032360335139,False,True,,0
439.0298,GnG-low,nogo,56190,3.354497476038887,False,True,,0
440.5278,GnG-high,go,56381,-2.504216001568693,True,True,0.43736542850652416,0
442.6399,GnG-low,nogo,56652,2.838211055973261,False,True,,0
444.1873,GnG-low,nogo,56850,2.725624469860577,False,True,,0
446.0096,GnG-low,nogo,57083,0.5063026522975633,False,True,,0
447.3533,GnG-high,go,57255,0.7946553403144208,True,True,0.3177636200796773,0
449.1137,GnG-low,nogo,57480,-1.5898207913096485,False,True,,0
450.7303,GnG-low,nogo,57687,-0.5664562675633533,False,True,,0
452.4543,GnG-low,nogo,57908,1.8992982926420154,False,True,,0
453.9815,GnG-low,nogo,58103,-1.7276187483048489,False,True,,0
455.7541,GnG-low,nogo,58330,-0.6740576153561051,False,True,,0
457.2403,GnG-low,nogo,58520,-2.354648715993335,False,True,,0
458.9398,GnG-low,nogo,58738,1.6114657847765557,False,True,,0
460.2844,GnG-high,go,58910,1.0813327139658213,True,True,0.3911647054833647,0
461.964,GnG-low,nogo,59125,1.2176405070363217,False,True,,0
463.3008,GnG-low,nogo,59296,0.718935826625966,False,True,,0
465.171,GnG-low,nogo,59535,-2.4740408968568772,False,True,,0
466.8381,GnG-high,go,59749,2.614785386811036,True,True,0.34132513435336165,0
468.4612,GnG-low,nogo,59956,-3.0409985723167665,False,True,,0
470.1026,GnG-low,nogo,60166,-3.7383346514729965,False,True,,0
471.8208,GnG-low,nogo,60386,-3.034836567678667,False,True,,0
473.6321,GnG-low,nogo,60618,-1.643607026551308,False,True,,0
474.9771,GnG-low,nogo,60790,-2.5624022636634436,False,True,,0
476.4725,GnG-low,nogo,60982,2.189569877202757,False,True,,0
478.1122,GnG-low,nogo,61192,3.174721761354249,False,True,,0
479.7612,GnG-low,nogo,61403,2.7775216230452315,False,True,,0
481.569,GnG-low,nogo,61634,-0.010565254854100203,False,True,,0
483.2506,GnG-high,go,61849,-2.013699908900435,True,True,0.5119590227518465,0
485.0612,GnG-low,nogo,62081,0.20640686500428274,False,True,,0
486.7884,GnG-high,go,62302,0.3143577390574137,True,True,0.32729369358704263,0
488.3388,GnG-low,nogo,62500,-3.531810626100196,False,True,,0
490.3594,GnG-high,go,62759,-0.48325273263571944,True,True,0.3331880620639557,0
491.8677,GnG-low,nogo,62952,-0.7159862118442106,False,True,,0
493.5795,GnG-low,nogo,63171,-1.4908449740573815,False,True,,0
495.153,GnG-low,nogo,63373,3.2835960648753826,False,True,,0
497.0393,GnG-low,nogo,63614,0.11933866005620075,False,True,,0
498.6716,GnG-low,nogo,63823,0.9042982725304682,False,True,,0
500.3066,GnG-low,nogo,64032,-1.2602452662804353,False,True,,0
501.9714,GnG-high,go,64245,-1.8411706747656353,True,True,0.35472716855573455,0
503.4605,GnG-low,nogo,64436,1.5891440426685222,False,True,,0
504.9904,GnG-low,nogo,64632,2.927084346652009,False,True,,0
506.7475,GnG-low,nogo,64857,3.927324925314224,False,True,,0
508.6145,GnG-low,nogo,65095,-3.570574281525296,False,True,,0
510.0284,GnG-high,go,65276,-3.2059576377037047,True,True,0.3524698020450891,0
511.7068,GnG-low,nogo,65491,-1.7706074432339847,False,True,,0
513.3426,GnG-low,nogo,65701,3.264036149630556,False,True,,0
515.1785,GnG-high,go,65936,3.4293813896510983,True,True,0.3339590671167917,0
516.9987,GnG-low,nogo,66169,3.8719941477438624,False,True,,0
518.3438,GnG-low,nogo,66341,2.8248262557326598,False,True,,0
520.0625,GnG-low,nogo,66561,2.7642123168334365,False,True,,0
521.5745,GnG-high,go,66754,-1.2003334825294587,True,True,0.46187393884994266,0
523.567,GnG-high,go,67009,-1.1590902477109921,True,True,0.3650779020965522,0
524.8321,GnG-low,nogo,67171,-0.625624467261332,False,True,,0
526.804,GnG-low,nogo,67423,-3.6072657929935303,False,True,,0
528.5699,GnG-low,nogo,67649,-3.537287467679562,False,True,,0
530.2105,GnG-low,nogo,67859,-3.3849033196702294,False,True,,0
531.894,GnG-low,nogo,68075,0.7615635115598707,False,True,,0
533.4912,GnG-low,nogo,68279,-2.604989520136769,False,True,,0
535.2452,GnG-low,nogo,68504,1.878651009405985,False,True,,0
536.7309,GnG-low,nogo,68694,0.8284027230729407,False,True,,0
538.506,GnG-high,go,68921,-1.090074022272347,True,True,0.3390846071961749,0
540.4886,GnG-low,nogo,69175,1.4187713210276343,False,True,,0
542.0656,GnG-low,nogo,69377,2.189148277352615,False,True,,0
543.4418,GnG-low,nogo,69553,1.4510756888057585,False,True,,0
545.3642,GnG-high,go,69799,0.8248661288234871,True,True,0.3894676436592225,0
546.616,GnG-low,nogo,69959,-0.797798440544284,False,True,,0
548.63,GnG-low,nogo,70217,1.1170156986963775,False,True,,0
550.2202,GnG-low,nogo,70420,-3.0544455987637775,False,True,,0
551.7214,GnG-low,nogo,70613,3.7502240251114927,False,True,,0
553.5175,GnG-low,nogo,70842,-3.041792470071414,False,True,,0
555.012,GnG-low,nogo,71034,2.603721996592867,False,True,,0
