marker,peak_uv,onset_burst_s,offset_burst_s,contact,edge_spacing_s,sound_onset_s,sound_onset_from_offset_s
6.2484,994.4782616967531,0.08160610127980941,0.16607416283312154,True,0.08446806155331213,0.07910610127980941,0.06857416283312154
7.2499,749.4560242703798,0.07715915269033018,0.169351973401293,True,0.09219282071096281,0.07465915269033017,0.07185197340129298
8.2509,1098.906489247377,0.07887723444435543,0.1679772549636119,True,0.08910002051925647,0.07637723444435543,0.0704772549636119
9.2502,1129.5022009226461,0.08019047737654468,0.1652138454866486,True,0.08502336811010393,0.07769047737654468,0.0677138454866486
10.2513,1036.0219453384148,0.07477707724308592,0.16598468082418497,True,0.09120760358109904,0.07227707724308592,0.06848468082418496
11.2527,1330.0514754831347,0.07690399607255982,0.17720658841655396,True,0.10030259234399413,0.07440399607255982,0.07970658841655395
12.2536,1414.5358399880263,0.074638467452007,0.1773140410043013,True,0.10267557355229429,0.072138467452007,0.07981404100430128
13.2554,1669.624463204436,0.07323904864707839,0.17498740521507467,True,0.10174835656799627,0.07073904864707839,0.07748740521507466
14.255,1711.0964878329207,0.07298736103433347,0.1736703684062942,True,0.10068300737196074,0.07048736103433347,0.07617036840629421
15.2555,1718.3715688464858,0.07277923661794047,0.1735878182161697,True,0.10080858159822922,0.07027923661794047,0.0760878182161697
16.2568,1328.451244403464,0.06880252511239437,0.17402915651390785,True,0.10522663140151348,0.06630252511239437,0.07652915651390785
17.2568,1365.509051751216,0.06788530520903566,0.17316083328954296,True,0.1052755280805073,0.06538530520903565,0.07566083328954296
18.258,1252.8636192760223,0.07218977977798195,0.1713304467515397,True,0.09914066697355774,0.06968977977798195,0.07383044675153969
19.2592,1473.36047893831,0.06621794773007109,0.1698021144311996,True,0.10358416670112852,0.06371794773007108,0.0723021144311996
20.2611,1591.1430887403128,0.07849361665199996,0.16946137578981704,True,0.09096775913781709,0.07599361665199995,0.07196137578981704
21.2618,1169.8975793227467,0.08482026772354777,0.16751499396380773,True,0.08269472624025996,0.08232026772354777,0.07001499396380773
22.2625,1014.0294811646531,0.08388512169557659,0.16684439988654012,True,0.08295927819096353,0.08138512169557659,0.06934439988654012
23.2631,998.7079324768829,0.07792826745979407,0.16667431655421944,True,0.08874604909442536,0.07542826745979407,0.06917431655421943
24.2633,1089.721423900763,0.07750563948409804,0.16453215515023956,True,0.08702651566614152,0.07500563948409804,0.06703215515023955
